,Unnamed: 0,DATASET,MODEL_TYPE,EPOCHS,TRAIN_ACC,TEST_ACC,TRAIN_LOSS,TEST_LOSS,DATA_PREP_METHOD,DATA_NORMALIZATION,REG_VALUE,DROPOUT_RATE,DATA_PREP,ENC_DEPTH,DFF,DEC_LAYERS,D_MODEL,LATENT_LEN,DATA_AUG
0,0,Small_SpikesFile_1.pkl,AttnAE_2,12,0.5684691011235955,0.5671875,"tf.Tensor(0.7020208, shape=(), dtype=float32)","tf.Tensor(0.8896202, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
1,1,Small_SpikesFile_1.pkl,AttnAE_1,12,0.294482970505618,0.30224609375,"tf.Tensor(1.554728, shape=(), dtype=float32)","tf.Tensor(0.9395222, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
2,2,Small_SpikesFile_1.pkl,AttnAE_2,9,0.5171063026685393,0.50927734375,"tf.Tensor(0.8062574, shape=(), dtype=float32)","tf.Tensor(1.1424134, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
3,3,Small_SpikesFile_1.pkl,AttnAE_2,10,0.5289238061797753,0.51943359375,"tf.Tensor(1.6313767, shape=(), dtype=float32)","tf.Tensor(0.89991915, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
4,4,Small_SpikesFile_1.pkl,AttnAE_2,12,0.5549398700842697,0.54912109375,"tf.Tensor(1.0006764, shape=(), dtype=float32)","tf.Tensor(1.1868414, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
5,5,Small_SpikesFile_1.pkl,AttnAE_1,9,0.2641327247191011,0.26259765625,"tf.Tensor(0.8934344, shape=(), dtype=float32)","tf.Tensor(1.2959352, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
6,6,Small_SpikesFile_1.pkl,AttnAE_1,9,0.4413843047752809,0.44091796875,"tf.Tensor(0.8681168, shape=(), dtype=float32)","tf.Tensor(0.81158006, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
7,7,Small_SpikesFile_1.pkl,AttnAE_2,10,0.4979371488764045,0.5091796875,"tf.Tensor(1.3520815, shape=(), dtype=float32)","tf.Tensor(1.3280298, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
8,8,Small_SpikesFile_1.pkl,AttnAE_2,9,0.3588263693820224,0.3529296875,"tf.Tensor(1.3008412, shape=(), dtype=float32)","tf.Tensor(1.3923082, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
9,9,Small_SpikesFile_1.pkl,AttnAE_2,11,0.6225750526685393,0.609375,"tf.Tensor(0.8201989, shape=(), dtype=float32)","tf.Tensor(1.2354562, shape=(), dtype=float32)",gradient,Standard,0.01,0.1,embedding,8,512,"[128, 32, 8, 3]",32,30,False
